_id,AnnoA,AteneoCOD,AteneoNOME,ClasseNUMERO,ClasseNOME,CorsoNOME,SedeC,SedeP,CorsoLingua
1,2020/2021,101,Torino,L-01,Beni culturali,Beni Culturali,TORINO,TORINO,""
2,2020/2021,101,Torino,L-02,Biotecnologie,Biotecnologie,TORINO,TORINO,"italiano, inglese"
3,2020/2021,101,Torino,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda","Dams (Discipline delle Arti, della Musica e dello Spettacolo)",TORINO,TORINO,""
4,2020/2021,101,Torino,L-05,Filosofia,Filosofia,TORINO,TORINO,""
5,2020/2021,101,Torino,L-10,Lettere,Lettere,TORINO,TORINO,""
6,2020/2021,101,Torino,L-10,Lettere,Culture e Letterature del Mondo Moderno,TORINO,TORINO,""
7,2020/2021,101,Torino,L-11,Lingue e culture moderne,Lingue e Letterature Moderne,TORINO,TORINO,""
8,2020/2021,101,Torino,L-12,Mediazione linguistica,Lingue e Culture dell'Asia e dell'Africa,TORINO,TORINO,""
9,2020/2021,101,Torino,L-12,Mediazione linguistica,Scienze della Mediazione Linguistica,TORINO,TORINO,""
10,2020/2021,101,Torino,L-13,Scienze biologiche,Scienze Biologiche,TORINO,TORINO,""
11,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Diritto Agroalimentare,TORINO,TORINO,""
12,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Diritto per le Imprese e le Istituzioni,TORINO,TORINO,""
13,2020/2021,101,Torino,L-14,Scienze dei servizi giuridici,Global Law And Transnational Legal Studies,TORINO,TORINO,inglese
14,2020/2021,101,Torino,L-15,Scienze del turismo,Lingue e Culture per il Turismo,TORINO,TORINO,""
15,2020/2021,101,Torino,L-16,Scienze dell'amministrazione e dell'organizzazione,Consulenza del Lavoro e Gestione delle Risorse Umane,TORINO,TORINO,""
16,2020/2021,101,Torino,L-16,Scienze dell'amministrazione e dell'organizzazione,Scienze dell'Amministrazione,TORINO,TORINO,""
17,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Management dell'Informazione e della Comunicazione Aziendale,TORINO,TORINO,""
18,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Economia Aziendale,CUNEO,CUNEO,""
19,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Economia Aziendale,TORINO,TORINO,""
20,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Amministrazione Aziendale,TORINO,TORINO,""
21,2020/2021,101,Torino,L-18,Scienze dell'economia e della gestione aziendale,Business & Management,TORINO,TORINO,inglese
22,2020/2021,101,Torino,L-19,Scienze dell'educazione e della formazione,Scienze dell'Educazione,SAVIGLIANO,CUNEO,""
23,2020/2021,101,Torino,L-19,Scienze dell'educazione e della formazione,Scienze dell'Educazione,TORINO,TORINO,""
24,2020/2021,101,Torino,L-20,Scienze della comunicazione,Comunicazione Interculturale,TORINO,TORINO,""
25,2020/2021,101,Torino,L-20,Scienze della comunicazione,Scienze della Comunicazione,TORINO,TORINO,""
26,2020/2021,101,Torino,L-20,Scienze della comunicazione,"Innovazione Sociale, Comunicazione, Nuove Tecnologie",TORINO,TORINO,""
27,2020/2021,101,Torino,L-22,Scienze delle attività motorie e sportive,Scienze delle Attività Motorie e Sportive,ASTI,ASTI,""
28,2020/2021,101,Torino,L-22,Scienze delle attività motorie e sportive,Scienze delle Attività Motorie e Sportive,CUNEO,CUNEO,""
29,2020/2021,101,Torino,L-22,Scienze delle attività motorie e sportive,Scienze delle Attività Motorie e Sportive,TORINO,TORINO,""
30,2020/2021,101,Torino,L-24,Scienze e tecniche psicologiche,Scienze e Tecniche Psicologiche,TORINO,TORINO,""
31,2020/2021,101,Torino,L-25,Scienze e tecnologie agrarie e forestali,Scienze e Tecnologie Agrarie,GRUGLIASCO,TORINO,""
32,2020/2021,101,Torino,L-25,Scienze e tecnologie agrarie e forestali,Scienze Forestali e Ambientali,GRUGLIASCO,TORINO,""
33,2020/2021,101,Torino,L-26,Scienze e tecnologie alimentari,Tecnologie Alimentari,GRUGLIASCO,TORINO,""
34,2020/2021,101,Torino,L-26,Scienze e tecnologie alimentari,Viticoltura ed Enologia,GRUGLIASCO,TORINO,""
35,2020/2021,101,Torino,L-27,Scienze e tecnologie chimiche,Scienza e Tecnologia dei Materiali,TORINO,TORINO,""
36,2020/2021,101,Torino,L-27,Scienze e tecnologie chimiche,Chimica e Tecnologie Chimiche,TORINO,TORINO,""
37,2020/2021,101,Torino,L-29,Scienze e tecnologie farmaceutiche,Tecniche Erboristiche,SAVIGLIANO,CUNEO,""
38,2020/2021,101,Torino,L-30,Scienze e tecnologie fisiche,Fisica,TORINO,TORINO,""
39,2020/2021,101,Torino,L-30,Scienze e tecnologie fisiche,Ottica e Optometria,TORINO,TORINO,""
40,2020/2021,101,Torino,L-31,Scienze e tecnologie informatiche,Informatica,TORINO,TORINO,""
41,2020/2021,101,Torino,L-32,Scienze e tecnologie per l'ambiente e la natura,Scienze Naturali,TORINO,TORINO,""
42,2020/2021,101,Torino,L-33,Scienze economiche,Economia,TORINO,TORINO,"italiano, inglese"
43,2020/2021,101,Torino,L-33,Scienze economiche,Economia e Statistica per le Organizzazioni,TORINO,TORINO,""
44,2020/2021,101,Torino,L-34,Scienze geologiche,Scienze Geologiche,TORINO,TORINO,""
45,2020/2021,101,Torino,L-35,Scienze matematiche,Matematica per la Finanza e l'Assicurazione,TORINO,TORINO,""
46,2020/2021,101,Torino,L-35,Scienze matematiche,Matematica,TORINO,TORINO,""
47,2020/2021,101,Torino,L-36,Scienze politiche e delle relazioni internazionali,Scienze Politiche e Sociali,TORINO,TORINO,""
48,2020/2021,101,Torino,L-36,Scienze politiche e delle relazioni internazionali,"Scienze Internazionali, dello Sviluppo e della Cooperazione",TORINO,TORINO,""
49,2020/2021,101,Torino,L-38,Scienze zootecniche e tecnologie delle produzioni animali,Produzioni e Gestione degli Animali in allevamento e Selvatici,GRUGLIASCO,TORINO,""
50,2020/2021,101,Torino,L-39,Servizio sociale,Servizio Sociale,BIELLA,BIELLA,""
51,2020/2021,101,Torino,L-39,Servizio sociale,Servizio Sociale,TORINO,TORINO,""
52,2020/2021,101,Torino,L-42,Storia,Storia,TORINO,TORINO,""
53,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),AOSTA,AOSTA,""
54,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),IVREA,TORINO,""
55,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),TORINO,TORINO,""
56,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o),TORINO,TORINO,""
57,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ASTI,ASTI,""
58,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),CUNEO,CUNEO,""
59,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica (Abilitante alla Professione Sanitaria di Infermiere),ORBASSANO,TORINO,""
60,2020/2021,101,Torino,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",Infermieristica Pediatrica (Abilitante alla Professione Sanitaria di Infermiere Pediatrico),TORINO,TORINO,""
61,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia),TORINO,TORINO,""
62,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),SAVIGLIANO,CUNEO,""
63,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale),TORINO,TORINO,""
64,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista),TORINO,TORINO,""
65,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Tecnica della Riabilitazione Psichiatrica (Abilitante alla Professione Sanitaria di Tecnico della Riabilitazione Psichiatrica),ORBASSANO,TORINO,""
66,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Terapia della Neuro e Psicomotricità dell'Età Evolutiva (Abilitante alla Professione Sanitaria di Terapista della Neuro e Psicomotricità dell'Età Evolutiva),TORINO,TORINO,""
67,2020/2021,101,Torino,L/SNT2,Professioni sanitarie della riabilitazione,Logopedia (Abilitante alla Professione Sanitaria di Logopedista),TORINO,TORINO,""
68,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Tecniche di Neurofisiopatologia (Abilitante alla Professione Sanitaria di Tecnico di Neurofisiopatologia),TORINO,TORINO,""
69,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),CUNEO,CUNEO,""
70,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Tecniche di Laboratorio Biomedico (Abilitante alla Professione Sanitaria di Tecnico di Laboratorio Biomedico),TORINO,TORINO,""
71,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",CUNEO,CUNEO,""
72,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,"Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica)",TORINO,TORINO,""
73,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale),TORINO,TORINO,""
74,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Tecniche Audiometriche (Abilitante alla Professione Sanitaria di Audiometrista),TORINO,TORINO,""
75,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Tecniche Audioprotesiche (Abilitante alla Professione Sanitaria di Audioprotesista),TORINO,TORINO,""
76,2020/2021,101,Torino,L/SNT3,Professioni sanitarie tecniche,Dietistica (Abilitante alla Professione Sanitaria di Dietista),TORINO,TORINO,""
77,2020/2021,101,Torino,L/SNT4,Professioni sanitarie della prevenzione,Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro),COLLEGNO,TORINO,""
78,2020/2021,101,Torino,L/DS,Scienze della difesa e della sicurezza,Scienze Strategiche e della Sicurezza,TORINO,TORINO,""
79,2020/2021,101,Torino,L/DS,Scienze della difesa e della sicurezza,Scienze Strategiche,MODENA,MODENA,""
80,2020/2021,101,Torino,L/DS,Scienze della difesa e della sicurezza,Scienze Strategiche,TORINO,TORINO,""
81,2020/2021,101,Torino,LMG/01,Magistrali in giurisprudenza,Giurisprudenza,CUNEO,CUNEO,""
82,2020/2021,101,Torino,LMG/01,Magistrali in giurisprudenza,Giurisprudenza,TORINO,TORINO,""
83,2020/2021,101,Torino,LM-01,Antropologia culturale ed etnologia,Antropologia Culturale ed Etnologia,TORINO,TORINO,""
84,2020/2021,101,Torino,LM-02,Archeologia,Archeologia e Storia Antica,TORINO,TORINO,""
85,2020/2021,101,Torino,LM-05,Archivistica e biblioteconomia,"Scienze del Libro, del Documento, del Patrimonio Culturale",TORINO,TORINO,""
86,2020/2021,101,Torino,LM-06,Biologia,Biologia dell'Ambiente,TORINO,TORINO,""
87,2020/2021,101,Torino,LM-06,Biologia,Cellular And Molecular Biology-Biologia Cellulare e Molecolare,TORINO,TORINO,inglese
88,2020/2021,101,Torino,LM-06,Biologia,Biotecnologie Vegetali,GRUGLIASCO,TORINO,""
89,2020/2021,101,Torino,LM-07,Biotecnologie agrarie,Biotecnologie Vegetali,GRUGLIASCO,TORINO,""
90,2020/2021,101,Torino,LM-08,Biotecnologie industriali,Biotecnologie Industriali,TORINO,TORINO,""
91,2020/2021,101,Torino,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",Molecular Biotechnology - Biotecnologie Molecolari,TORINO,TORINO,inglese
92,2020/2021,101,Torino,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",Biotecnologie Mediche,TORINO,TORINO,""
93,2020/2021,101,Torino,LM-13,Farmacia e farmacia industriale,Chimica e Tecnologia Farmaceutiche,TORINO,TORINO,""
94,2020/2021,101,Torino,LM-13,Farmacia e farmacia industriale,Farmacia,TORINO,TORINO,""
95,2020/2021,101,Torino,LM-14,Filologia moderna,"Letteratura, Filologia e Linguistica Italiana",TORINO,TORINO,""
96,2020/2021,101,Torino,LM-14,Filologia moderna,Culture Moderne Comparate,TORINO,TORINO,""
97,2020/2021,101,Torino,LM-15,"Filologia, letterature e storia dell'antichità","Filologia, Letterature e Storia dell'Antichità",TORINO,TORINO,""
98,2020/2021,101,Torino,LM-83,Scienze statistiche attuariali e finanziarie,Quantitative Finance And Insurance - Finanza Quantitativa e Assicurazioni,TORINO,TORINO,inglese
99,2020/2021,101,Torino,LM-17,Fisica,Fisica,TORINO,TORINO,""
100,2020/2021,101,Torino,LM-17,Fisica,Fisica dei Sistemi Complessi,TORINO,TORINO,""
101,2020/2021,101,Torino,LM-18,Informatica,Informatica,TORINO,TORINO,""
102,2020/2021,101,Torino,LM-37,Lingue e letterature moderne europee e americane,Lingue e Letterature Moderne,TORINO,TORINO,"italiano, inglese"
103,2020/2021,101,Torino,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,Lingue Straniere per la Comunicazione Internazionale,TORINO,TORINO,""
104,2020/2021,101,Torino,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,Lingue dell'Asia e dell'Africa per la Comunicazione e la Cooperazione Internazionale,TORINO,TORINO,""
105,2020/2021,101,Torino,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,Comunicazione Internazionale per il Turismo,TORINO,TORINO,""
106,2020/2021,101,Torino,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,Lingue per Lo Sviluppo Turistico del Territorio,TORINO,TORINO,""
107,2020/2021,101,Torino,LM-39,Linguistica,Scienze Linguistiche,TORINO,TORINO,""
108,2020/2021,101,Torino,LM-40,Matematica,Matematica,TORINO,TORINO,""
109,2020/2021,101,Torino,LM-40,Matematica,Stochastics And Data Science,TORINO,TORINO,inglese
110,2020/2021,101,Torino,LM-41,Medicina e chirurgia,Medicina e Chirurgia,TORINO,TORINO,""
111,2020/2021,101,Torino,LM-41,Medicina e chirurgia,Medicine And Surgery,ORBASSANO,TORINO,inglese
112,2020/2021,101,Torino,LM-42,Medicina veterinaria,Medicina Veterinaria,GRUGLIASCO,TORINO,""
113,2020/2021,101,Torino,LM-46,Odontoiatria e protesi dentaria,Odontoiatria e Protesi Dentaria,TORINO,TORINO,""
114,2020/2021,101,Torino,LM-50,Programmazione e gestione dei servizi educativi,Programmazione e Gestione dei Servizi Educativi e Formativi,TORINO,TORINO,""
115,2020/2021,101,Torino,LM-51,Psicologia,Psicologia Clinica,TORINO,TORINO,""
116,2020/2021,101,Torino,LM-51,Psicologia,Psicologia del Lavoro e dell'Organizzazione,TORINO,TORINO,""
117,2020/2021,101,Torino,LM-51,Psicologia,Scienze del Corpo e della Mente,TORINO,TORINO,""
118,2020/2021,101,Torino,LM-51,Psicologia,Psicologia Criminologica e Forense,TORINO,TORINO,""
119,2020/2021,101,Torino,LM-52,Relazioni internazionali,Scienze Internazionali,TORINO,TORINO,""
120,2020/2021,101,Torino,LM-53,Scienza e ingegneria dei materiali,Scienza dei Materiali,TORINO,TORINO,inglese
121,2020/2021,101,Torino,LM-54,Scienze chimiche,Chimica,TORINO,TORINO,""
122,2020/2021,101,Torino,LM-54,Scienze chimiche,Chimica dell'Ambiente,TORINO,TORINO,""
123,2020/2021,101,Torino,LM-54,Scienze chimiche,"Chimica Clinica, Forense e dello Sport",TORINO,TORINO,""
124,2020/2021,101,Torino,LM-56,Scienze dell'economia,Economics,TORINO,TORINO,inglese
125,2020/2021,101,Torino,LM-56,Scienze dell'economia,"Economia dell'Ambiente, della Cultura e del Territorio",TORINO,TORINO,""
126,2020/2021,101,Torino,LM-56,Scienze dell'economia,Economia e Management,TORINO,TORINO,""
127,2020/2021,101,Torino,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità","Comunicazione, Ict e Media",TORINO,TORINO,""
128,2020/2021,101,Torino,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",Comunicazione Pubblica e Politica,TORINO,TORINO,""
129,2020/2021,101,Torino,LM-60,Scienze della natura,Evoluzione del Comportamento Animale e dell'Uomo,TORINO,TORINO,""
130,2020/2021,101,Torino,LM-60,Scienze della natura,Scienze dei Sistemi Naturali,TORINO,TORINO,""
131,2020/2021,101,Torino,LM-61,Scienze della nutrizione umana,Scienze degli Alimenti e della Nutrizione Umana,TORINO,TORINO,""
132,2020/2021,101,Torino,LM-62,Scienze della politica,Scienze del Governo,TORINO,TORINO,""
133,2020/2021,101,Torino,LM-63,Scienze delle pubbliche amministrazioni,Scienze Amministrative e Giuridiche delle Organizzazioni Pubbliche e Private,TORINO,TORINO,""
134,2020/2021,101,Torino,LM-64,Scienze delle religioni,Scienze delle Religioni,TORINO,TORINO,""
135,2020/2021,101,Torino,LM-65,Scienze dello spettacolo e produzione multimediale,"Cam - Cinema, Arti della Scena, Musica e Media",TORINO,TORINO,""
136,2020/2021,101,Torino,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,Scienze dell'Educazione Motoria e delle Attività Adattate,TORINO,TORINO,""
137,2020/2021,101,Torino,LM-68,Scienze e tecniche dello sport,Scienze e Tecniche Avanzate dello Sport,TORINO,TORINO,""
138,2020/2021,101,Torino,LM-69,Scienze e tecnologie agrarie,Scienze Agrarie,GRUGLIASCO,TORINO,"italiano, inglese"
139,2020/2021,101,Torino,LM-70,Scienze e tecnologie alimentari,Scienze Viticole ed Enologiche,ASTI,ASTI,"italiano, inglese"
140,2020/2021,101,Torino,LM-70,Scienze e tecnologie alimentari,Scienze e Tecnologie Alimentari,CUNEO,CUNEO,"italiano, inglese"
141,2020/2021,101,Torino,LM-71,Scienze e tecnologie della chimica industriale,Chimica Industriale,TORINO,TORINO,""
142,2020/2021,101,Torino,LM-73,Scienze e tecnologie forestali ed ambientali,Scienze e Tecnologie dei Sistemi e Territori Forestali,GRUGLIASCO,TORINO,""
143,2020/2021,101,Torino,LM-74,Scienze e tecnologie geologiche,Scienze Geologiche Applicate,TORINO,TORINO,""
144,2020/2021,101,Torino,LM-75,Scienze e tecnologie per l'ambiente e il territorio,"Monitoraggio Ambientale, Tutela e Ripristino",TORINO,TORINO,""
145,2020/2021,101,Torino,LM-77,Scienze economico-aziendali,Amministrazione e Controllo Aziendale,TORINO,TORINO,""
146,2020/2021,101,Torino,LM-77,Scienze economico-aziendali,Finanza Aziendale e Mercati Finanziari,TORINO,TORINO,""
147,2020/2021,101,Torino,LM-77,Scienze economico-aziendali,Professioni Contabili,TORINO,TORINO,""
148,2020/2021,101,Torino,LM-77,Scienze economico-aziendali,"Direzione d'Impresa, Marketing e Strategia",TORINO,TORINO,""
149,2020/2021,101,Torino,LM-77,Scienze economico-aziendali,Business Administration,TORINO,TORINO,inglese
150,2020/2021,101,Torino,LM-78,Scienze filosofiche,Filosofia,TORINO,TORINO,"italiano, inglese"
151,2020/2021,101,Torino,LM-80,Scienze geografiche,Geografia e Scienze Territoriali,TORINO,TORINO,""
152,2020/2021,101,Torino,LM-81,Scienze per la cooperazione allo sviluppo,Area & Global Studies For International Cooperation,TORINO,TORINO,inglese
153,2020/2021,101,Torino,LM-82,Scienze statistiche,Metodi Statistici ed Economici per le Decisioni,TORINO,TORINO,""
154,2020/2021,101,Torino,LM-84,Scienze storiche,Scienze Storiche,TORINO,TORINO,""
155,2020/2021,101,Torino,LM-85,Scienze pedagogiche,Scienze Pedagogiche,TORINO,TORINO,""
156,2020/2021,101,Torino,LM-86,Scienze zootecniche e tecnologie  animali,Scienze Animali,GRUGLIASCO,TORINO,"italiano, inglese"
157,2020/2021,101,Torino,LM-87,Servizio sociale e politiche sociali,Politiche e Servizi Sociali,TORINO,TORINO,""
158,2020/2021,101,Torino,LM-88,Sociologia e ricerca sociale,Sociologia,TORINO,TORINO,""
159,2020/2021,101,Torino,LM-89,Storia dell'arte,Storia dell'Arte,TORINO,TORINO,""
160,2020/2021,101,Torino,LM-90,Studi europei,European Legal Studies,TORINO,TORINO,inglese
161,2020/2021,101,Torino,LM-92,Teorie della comunicazione,Comunicazione e Culture dei Media,TORINO,TORINO,""
162,2020/2021,101,Torino,LM-94,Traduzione specialistica e interpretariato,Traduzione,TORINO,TORINO,""
163,2020/2021,101,Torino,LM/SNT1,Scienze infermieristiche e ostetriche,Scienze Infermieristiche e Ostetriche,TORINO,TORINO,""
164,2020/2021,101,Torino,LM/SNT2,Scienze riabilitative delle professioni sanitarie,Scienze Riabilitative delle Professioni Sanitarie,ORBASSANO,TORINO,""
165,2020/2021,101,Torino,LM/SNT3,Scienze delle professioni sanitarie tecniche,Scienze delle Professioni Sanitarie Tecniche Diagnostiche,TORINO,TORINO,""
166,2020/2021,101,Torino,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,Scienze delle Professioni Sanitarie della Prevenzione,TORINO,TORINO,""
167,2020/2021,101,Torino,LM/DS,Scienze della difesa e della sicurezza,Scienze Strategiche,TORINO,TORINO,""
168,2020/2021,101,Torino,LM/DS,Scienze della difesa e della sicurezza,Scienze Strategiche e Militari,TORINO,TORINO,""
169,2020/2021,101,Torino,LM-85 bis,Scienze della formazione primaria,Scienze della Formazione Primaria,COLLEGNO,TORINO,""
170,2020/2021,101,Torino,LM-85 bis,Scienze della formazione primaria,Scienze della Formazione Primaria,SAVIGLIANO,CUNEO,""
171,2020/2021,101,Torino,LMR/02,Conservazione e restauro dei beni culturali,Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004),VENARIA REALE,TORINO,""
172,2020/2021,102,Torino Politecnico,L-04,Disegno industriale,Design e Comunicazione,TORINO,TORINO,""
173,2020/2021,102,Torino Politecnico,L-07,Ingegneria civile e ambientale,Ingegneria Civile,TORINO,TORINO,""
174,2020/2021,102,Torino Politecnico,L-07,Ingegneria civile e ambientale,Ingegneria per l'Ambiente e il Territorio,TORINO,TORINO,""
175,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Ingegneria Elettronica,TORINO,TORINO,""
176,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Ingegneria Gestionale,TORINO,TORINO,""
177,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Gestionale,TORINO,TORINO,""
178,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Ingegneria Fisica,TORINO,TORINO,""
179,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Ingegneria del Cinema e dei Mezzi di Comunicazione,TORINO,TORINO,""
180,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Electronic And Communications Engineering (Ingegneria Elettronica e delle Comunicazioni),TORINO,TORINO,inglese
181,2020/2021,102,Torino Politecnico,L-08,Ingegneria dell'informazione,Ingegneria Informatica,TORINO,TORINO,"italiano, inglese"
182,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Aerospaziale,TORINO,TORINO,""
183,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria dell'Autoveicolo,TORINO,TORINO,"italiano, inglese"
184,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Energetica,TORINO,TORINO,""
185,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Meccanica,TORINO,TORINO,""
186,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Elettrica,TORINO,TORINO,""
187,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Biomedica,TORINO,TORINO,""
188,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria dei Materiali,TORINO,TORINO,""
189,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria Chimica e Alimentare,TORINO,TORINO,""
190,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Ingegneria della Produzione Industriale,TORINO,TORINO,""
191,2020/2021,102,Torino Politecnico,L-09,Ingegneria industriale,Tecnologie per l'Industria Manifatturiera,TORINO,TORINO,""
192,2020/2021,102,Torino Politecnico,L-17,Scienze dell'architettura,Architettura,TORINO,TORINO,"italiano, inglese"
193,2020/2021,102,Torino Politecnico,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale","Pianificazione Territoriale, Urbanistica e Paesaggistico-Ambientale",TORINO,TORINO,""
194,2020/2021,102,Torino Politecnico,L-23,Scienze e tecniche dell'edilizia,Ingegneria Edile,TORINO,TORINO,""
195,2020/2021,102,Torino Politecnico,L-35,Scienze matematiche,Matematica per l'Ingegneria,TORINO,TORINO,""
196,2020/2021,102,Torino Politecnico,LM-04,Architettura e ingegneria edile-architettura,Architettura Costruzione Città,TORINO,TORINO,"italiano, inglese"
197,2020/2021,102,Torino Politecnico,LM-04,Architettura e ingegneria edile-architettura,Architettura per il Restauro e Valorizzazione del Patrimonio,TORINO,TORINO,""
198,2020/2021,102,Torino Politecnico,LM-04,Architettura e ingegneria edile-architettura,Architettura per il Progetto Sostenibile,TORINO,TORINO,""
199,2020/2021,102,Torino Politecnico,LM-12,Design,Design Sistemico,TORINO,TORINO,""
200,2020/2021,102,Torino Politecnico,LM-20,Ingegneria aerospaziale e astronautica,Ingegneria Aerospaziale,TORINO,TORINO,""
201,2020/2021,102,Torino Politecnico,LM-21,Ingegneria biomedica,Ingegneria Biomedica,TORINO,TORINO,"italiano, inglese"
202,2020/2021,102,Torino Politecnico,LM-22,Ingegneria chimica,Ingegneria Chimica e dei Processi Sostenibili,TORINO,TORINO,""
203,2020/2021,102,Torino Politecnico,LM-23,Ingegneria civile,Ingegneria Civile,TORINO,TORINO,"italiano, inglese"
204,2020/2021,102,Torino Politecnico,LM-24,Ingegneria dei sistemi edilizi,Ingegneria Edile,TORINO,TORINO,"italiano, inglese"
205,2020/2021,102,Torino Politecnico,LM-25,Ingegneria dell'automazione,Mechatronic Engineering (Ingegneria Meccatronica),TORINO,TORINO,inglese
206,2020/2021,102,Torino Politecnico,LM-27,Ingegneria delle telecomunicazioni,Communications And Computer Networks Engineering (Ingegneria Telematica e delle Comunicazioni),TORINO,TORINO,inglese
207,2020/2021,102,Torino Politecnico,LM-27,Ingegneria delle telecomunicazioni,Ict For Smart Societies (Ict per la Società del Futuro),TORINO,TORINO,inglese
208,2020/2021,102,Torino Politecnico,LM-28,Ingegneria elettrica,Ingegneria Elettrica,TORINO,TORINO,"italiano, inglese"
209,2020/2021,102,Torino Politecnico,LM-29,Ingegneria elettronica,Ingegneria Elettronica,TORINO,TORINO,"italiano, inglese"
